Eval;Branches;Leaves;Parts;min MAE;real Time;sum Time;avg Mae;avg Time;
Random;1;5;99;0,00191949601504394;12844;12837;0,0043130567982208835;2567;
LSFI;1;5;99;0,0010689833057691387;1976;1974;0,004746113056150995;394;
LSBI;1;5;99;0,0012200666639105833;10272;10270;0,004396396973598809;2054;
Random;1;50;99;7,398989711859762E-4;127080;127076;0,005193333848159425;2541;
LSFI;1;50;99;6,243420167989837E-4;24966;24960;0,0077796953895758235;499;
LSBI;1;50;99;7,536866170608331E-4;105756;105752;0,006078608279393701;2115;
Random;1;100;99;4,3455794302832244E-4;252611;252602;0,005541262177237835;2526;
LSFI;1;100;99;9,621266515912975E-4;53917;53909;0,008660203642721166;539;
LSBI;1;100;99;5,0153729622536E-4;225360;225352;0,009813504126163242;2253;
Random;2;5;99;0,0012062579674351887;12767;25509;0,0036637338626842575;2550;
LSFI;2;5;99;0,0010689833057691387;3101;5051;0,007342299332917354;505;
LSBI;2;5;99;0,0012200666639105833;10410;20402;0,005470275734555002;2040;
Random;2;50;99;7,398989711859762E-4;129247;257621;0,006050563020612787;2576;
LSFI;2;50;99;6,243420167989837E-4;28329;53982;0,008414971729047446;539;
LSBI;2;50;99;7,536866170608331E-4;132158;256717;0,006714073321471162;2567;
Random;2;100;99;4,3455794302832244E-4;315341;630568;0,005487439542624031;3152;
LSFI;2;100;99;7,324874252306821E-4;68087;133711;0,009783971999244212;668;
LSBI;2;100;99;5,0153729622536E-4;238509;461738;0,00875609288867637;2308;
Random;4;5;99;8,556409870017496E-4;12853;51296;0,004988894157409234;2564;
LSFI;4;5;99;0,0010689833057691387;3262;10781;0,009291408359808115;539;
LSBI;4;5;99;0,0012200666639105833;25754;96166;0,006750269125718465;4808;
Random;4;50;99;5,251960203160367E-4;209902;837914;0,005653144493808968;4189;
LSFI;4;50;99;6,243420167989837E-4;39699;124016;0,0084332252515357;620;
LSBI;4;50;99;7,536866170608331E-4;158589;597278;0,006985409488894059;2986;
Random;4;100;99;4,3455794302832244E-4;390427;1560247;0,005391606522292029;3900;
LSFI;4;100;99;7,324874252306821E-4;94870;371432;0,009006549108480054;928;
LSBI;4;100;99;5,0153729622536E-4;351081;1338578;0,008186846240512595;3346;
Random;8;5;99;8,556409870017496E-4;32895;259072;0,007078276170850069;6476;
LSFI;8;5;99;9,024916426536351E-4;3852;25052;0,011685928655947227;626;
LSBI;8;5;99;7,877109924646409E-4;29020;208697;0,009982627628544205;5217;
Random;8;50;99;5,251960203160367E-4;302983;2415592;0,005466956589674052;6038;
LSFI;8;50;99;6,243420167989837E-4;76549;538859;0,008439631588150096;1347;
LSBI;8;50;99;5,698118206433796E-4;251334;1918673;0,007234301441163401;4796;
Random;8;100;99;4,3455794302832244E-4;598377;4776978;0,005431176237932663;5971;
LSFI;8;100;99;4,0972053674854576E-4;123339;962818;0,008880039580723803;1203;
LSBI;8;100;99;5,0153729622536E-4;491251;3730691;0,008041988639992649;4663;
Random;1;5;499;8,79652185505593E-4;12594;12592;0,003895374204648223;2518;
LSFI;1;5;499;0,0010479286471705132;17900;17899;0,003693431320285466;3579;
LSBI;1;5;499;0,0020784831332777893;177257;177256;0,004229699232202218;35451;
Random;1;50;499;5,438535976933895E-4;125806;125802;0,00447468848401642;2516;
LSFI;1;50;499;8,702527162256293E-4;183510;183505;0,008334357885957714;3670;
LSBI;1;50;499;6,013065187756607E-4;1925738;1925733;0,0033667363693423904;38514;
Random;1;100;499;6,829913391237758E-4;253696;253688;0,004892569629377449;2536;
LSFI;1;100;499;6,488704932280962E-4;379882;379875;0,005976390060547141;3798;
LSBI;1;100;499;4,955470599082139E-4;4119959;4119951;0,0030670452323859013;41199;
Random;2;5;499;8,79652185505593E-4;12763;25515;0,004371128826127754;2551;
LSFI;2;5;499;0,0010479286471705132;24718;42715;0,00567195622874431;4271;
LSBI;2;5;499;0,0020784831332777893;226106;404822;0,003863037901087809;40482;
Random;2;50;499;5,438535976933895E-4;126483;252859;0,004219342746019305;2528;
LSFI;2;50;499;7,886509584685781E-4;199974;386689;0,006875779246463028;3866;
LSBI;2;50;499;5,086091014172402E-4;2108800;4191505;0,0030719099325519895;41915;
Random;2;100;499;5,728609865704111E-4;253059;505481;0,004734467386338361;2527;
LSFI;2;100;499;6,488704932280962E-4;378295;739197;0,005623660054573491;3695;
LSBI;2;100;499;4,955470599082139E-4;4244309;8367030;0,0029306396528815974;41835;
Random;4;5;499;8,79652185505593E-4;12896;51340;0,0039771370965385085;2567;
LSFI;4;5;499;0,0010479286471705132;24838;78677;0,004988651358146987;3933;
LSBI;4;5;499;9,005839905965293E-4;296642;1082271;0,0033673801446223437;54113;
Random;4;50;499;5,438535976933895E-4;177231;708277;0,0043737559719355164;3541;
LSFI;4;50;499;7,886509584685781E-4;274354;1059548;0,006906921347561313;5297;
LSBI;4;50;499;5,086091014172402E-4;3016651;11477134;0,0031776264290939503;57385;
Random;4;100;499;5,728609865704111E-4;339382;1356088;0,004498309682321323;3390;
LSFI;4;100;499;6,488704932280962E-4;541838;2123326;0,005874385202358187;5308;
LSBI;4;100;499;4,7640026282864473E-4;5956902;22644421;0,0031373951716124906;56611;
Random;8;5;499;5,252197637790912E-4;15431;121859;0,0033926202082612336;3046;
LSFI;8;5;499;7,255841724123214E-4;38108;248500;0,0047433053161434376;6212;
LSBI;8;5;499;7,404295397206864E-4;418724;3011236;0,0030735553343420445;75280;
Random;8;50;499;4,875358131332168E-4;269052;2145562;0,004701755563434729;5363;
LSFI;8;50;499;5,150580541386014E-4;406844;2947733;0,006575243444245169;7369;
LSBI;8;50;499;4,028303124998508E-4;4166132;31338705;0,003102872514690716;78346;
Random;8;100;499;4,4015647920567837E-4;496124;3957520;0,004517868977619008;4946;
LSFI;8;100;499;4,6322351856696597E-4;785717;6064308;0,005999542767407254;7580;
LSBI;8;100;499;3,7504822165216917E-4;8400555;63082571;0,003078327082466735;78853;
Random;1;5;999;9,47051141323412E-4;12641;12640;0,0036553992787906322;2528;
LSFI;1;5;999;0,001224842980229673;39307;39306;0,0019545419865488857;7861;
LSBI;1;5;999;9,306784571218942E-4;700612;700611;0,0017745068354131695;140122;
Random;1;50;999;5,35643244242466E-4;124940;124934;0,005059349935594235;2498;
LSFI;1;50;999;6,420724757312713E-4;433364;433358;0,005350414959203381;8667;
LSBI;1;50;999;3,6397789937957605E-4;7019161;7019157;0,0017617101947658756;140383;
Random;1;100;999;3,808989381892006E-4;250773;250765;0,0053089287913094165;2507;
LSFI;1;100;999;5,895020719448216E-4;807286;807275;0,006275452781426803;8072;
LSBI;1;100;999;3,87189883968046E-4;16805231;16805221;0,0019835474578204946;168052;
Random;2;5;999;9,47051141323412E-4;12699;25363;0,003257770678118964;2536;
LSFI;2;5;999;0,001224842980229673;54584;94297;0,0031819972344577082;9429;
LSBI;2;5;999;6,500982884351763E-4;709527;1292005;0,001391519557003729;129200;
Random;2;50;999;5,35643244242466E-4;127153;253907;0,004686338593005712;2539;
LSFI;2;50;999;6,364974720431025E-4;440544;853549;0,00471987097814807;8535;
