Eval;Branches;Leaves;Parts;min MAE;real Time;sum Time;avg Mae;avg Time
Random;1;5;99;0,001919496;12714;12708;0,004313057;2541
LSFI;1;5;99;0,001068983;1984;1983;0,004746113;396
LSBI;1;5;99;0,001220067;10043;10041;0,004396397;2008
Random;2;5;99;0,001206258;12671;25334;0,003663734;2533
LSFI;2;5;99;0,001068983;3156;5143;0,007342299;514
LSBI;2;5;99;0,001220067;10461;20491;0,005470276;2049
Random;4;5;99;8,56E-04;13427;53541;0,004988894;2677
LSFI;4;5;99;0,001068983;3355;11093;0,009291408;554
LSBI;4;5;99;0,001220067;23054;65439;0,006750269;3271
Random;8;5;99;8,56E-04;22465;174730;0,007078276;4368
LSFI;8;5;99;9,02E-04;9435;69259;0,011685929;1731
LSBI;8;5;99;7,88E-04;14510;91996;0,009982628;2299
Random;1;5;499;8,80E-04;12752;12749;0,003895374;2549
LSFI;1;5;499;0,001047929;18567;18566;0,003693431;3713
LSBI;1;5;499;0,002078483;179912;179910;0,004229699;35982
Random;2;5;499;8,80E-04;12949;25861;0,004371129;2586
LSFI;2;5;499;0,001047929;25032;43250;0,005671956;4325
LSBI;2;5;499;0,002078483;242639;436435;0,003863038;43643
Random;4;5;499;8,80E-04;15683;62158;0,003977137;3107
LSFI;4;5;499;0,001047929;36244;123092;0,004988651;6154
LSBI;4;5;499;9,01E-04;313391;1157353;0,00336738;57867
Random;8;5;499;5,25E-04;26413;209991;0,00339262;5249
LSFI;8;5;499;7,26E-04;43217;286982;0,004743305;7174
LSBI;8;5;499;7,40E-04;419625;3001488;0,003073555;75037
Random;1;5;999;9,47E-04;12602;12601;0,003655399;2520
LSFI;1;5;999;0,001224843;40514;40513;0,001954542;8102
LSBI;1;5;999;9,31E-04;715946;715945;0,001774507;143189
Random;2;5;999;9,47E-04;12828;25647;0,003257771;2564
LSFI;2;5;999;0,001224843;55293;95408;0,003181997;9540
LSBI;2;5;999;6,50E-04;789292;1453812;0,00139152;145381
Random;4;5;999;8,49E-04;13226;52768;0,003947415;2638
LSFI;4;5;999;8,37E-04;96176;306245;0,003719513;15312
LSBI;4;5;999;5,77E-04;1234707;4347525;0,001456212;217376
Random;8;5;999;8,49E-04;28560;227166;0,004572076;5679
LSFI;8;5;999;8,37E-04;113807;689831;0,004819016;17245
LSBI;8;5;999;3,42E-04;1741993;11836698;0,00172803;295917
Random;1;5;2999;0,001043604;12893;12891;0,003497617;2578
LSFI;1;5;2999;5,51E-04;163088;163087;0,001992776;32617
LSBI;1;5;2999;5,50E-04;6508057;6508056;9,00E-04;1301611
Random;2;5;2999;8,92E-04;12978;25922;0,003351241;2592
LSFI;2;5;2999;5,51E-04;218916;422147;0,002417255;42214
LSBI;2;5;2999;3,91E-04;8123299;14451157;8,98E-04;1445115
Random;4;5;2999;8,92E-04;12805;51051;0,004288639;2552
LSFI;4;5;2999;5,51E-04;217746;767259;0,005082533;38362
LSBI;4;5;2999;3,91E-04;10702298;39220279;8,77E-04;1961013
Random;8;5;2999;5,79E-04;15037;120137;0,005323561;3003
LSFI;8;5;2999;5,51E-04;374988;2459947;0,005041161;61498
LSBI;8;5;2999;3,91E-04;16061088;114447385;8,04E-04;2861184
Random;1;50;99;7,40E-04;125651;125647;0,005193334;2512
LSFI;1;50;99;6,24E-04;24749;24743;0,007779695;494
LSBI;1;50;99;7,54E-04;104229;104225;0,006078608;2084
Random;2;50;99;7,40E-04;126430;251881;0,006050563;2518
LSFI;2;50;99;6,24E-04;27601;52553;0,008414972;525
LSBI;2;50;99;7,54E-04;104896;202391;0,006714073;2023
Random;4;50;99;5,25E-04;150135;599563;0,005653144;2997
LSFI;4;50;99;6,24E-04;27893;102544;0,008433225;512
LSBI;4;50;99;7,54E-04;141085;547893;0,006985409;2739
Random;8;50;99;5,25E-04;256241;2043557;0,005466957;5108
LSFI;8;50;99;6,24E-04;48378;366231;0,008439632;915
LSBI;8;50;99;5,70E-04;212530;1621050;0,007234301;4052
Random;1;50;499;5,44E-04;125775;125767;0,004474688;2515
LSFI;1;50;499;8,70E-04;182866;182861;0,008334358;3657
LSBI;1;50;499;6,01E-04;1919185;1919180;0,003366736;38383
Random;2;50;499;5,44E-04;126581;252892;0,004219343;2528
LSFI;2;50;499;7,89E-04;199120;385106;0,006875779;3851
LSBI;2;50;499;5,09E-04;1950968;3876746;0,00307191;38767
Random;4;50;499;5,44E-04;175659;701817;0,004373756;3509
LSFI;4;50;499;7,89E-04;272867;1054859;0,006906921;5274
LSBI;4;50;499;5,09E-04;2917461;11082825;0,003177626;55414
Random;8;50;499;4,88E-04;227226;1815592;0,004701756;4538
LSFI;8;50;499;5,15E-04;396894;2865146;0,006575243;7162
LSBI;8;50;499;4,03E-04;4025979;30256674;0,003102873;75641
Random;1;50;999;5,36E-04;122662;122656;0,00505935;2453
LSFI;1;50;999;6,42E-04;428101;428086;0,005350415;8561
LSBI;1;50;999;3,64E-04;6867853;6867849;0,00176171;137356
Random;2;50;999;5,36E-04;125007;249986;0,004686339;2499
LSFI;2;50;999;6,36E-04;443173;856165;0,004719871;8561
LSBI;2;50;999;3,64E-04;7546673;14778107;0,001874328;147781
Random;4;50;999;4,80E-04;139714;557940;0,004373039;2789
LSFI;4;50;999;5,24E-04;579394;2234786;0,00482776;11173
LSBI;4;50;999;3,56E-04;11134238;43779787;0,001801644;218898
Random;8;50;999;4,77E-04;292730;2277511;0,004622798;5693
LSFI;8;50;999;4,77E-04;966356;7332209;0,005202257;18330
LSBI;8;50;999;3,09E-04;16645155;122943779;0,00173997;307359
Random;1;100;99;4,3455794302832244E-4;252701;252670;0,005541262177237835;2526;
LSFI;1;100;99;9,621266515912975E-4;52609;52594;0,008660203642721166;525;
LSBI;1;100;99;5,0153729622536E-4;218122;218110;0,009813504126163242;2181;
Random;2;100;99;4,3455794302832244E-4;249641;498205;0,005487439542624031;2491;
LSFI;2;100;99;7,324874252306821E-4;52991;103876;0,009783971999244212;519;
LSBI;2;100;99;5,0153729622536E-4;219814;424440;0,00875609288867637;2122;
Random;4;100;99;4,3455794302832244E-4;313999;1249771;0,005391606522292029;3124;
LSFI;4;100;99;7,324874252306821E-4;66299;257205;0,009006549108480054;643;
LSBI;4;100;99;5,0153729622536E-4;296239;1121020;0,008186846240512595;2802;
Random;8;100;99;4,3455794302832244E-4;495844;3954646;0,005431176237932663;4943;
LSFI;8;100;99;4,0972053674854576E-4;108759;846220;0,008880039580723803;1057;
LSBI;8;100;99;5,0153729622536E-4;411624;3103181;0,008041988639992649;3878;
Random;1;100;499;6,829913391237758E-4;245307;245298;0,004892569629377449;2452;
LSFI;1;100;499;6,488704932280962E-4;366949;366939;0,005976390060547141;3669;
LSBI;1;100;499;4,955470599082139E-4;4439819;4439813;0,0030670452323859013;44398;
Random;2;100;499;5,728609865704111E-4;323711;647089;0,004734467386338361;3235;
LSFI;2;100;499;6,488704932280962E-4;382048;745028;0,005623660054573491;3725;
LSBI;2;100;499;4,955470599082139E-4;4579128;9028144;0,0029306396528815974;45140;
Random;4;100;499;5,728609865704111E-4;368788;1474440;0,004498309682321323;3686;
LSFI;4;100;499;6,488704932280962E-4;538071;2097066;0,005874385202358187;5242;
Random;1;100;99;4,3455794302832244E-4;253563;253536;0,005541262177237835;2535;
LSFI;1;100;99;9,621266515912975E-4;54227;54217;0,008660203642721166;542;
LSBI;1;100;99;5,0153729622536E-4;225017;225008;0,009813504126163242;2250;
LSBI;4;100;499;4,7640026282864473E-4;5846532;22245161;0,0031373951716124906;55612;
Random;8;100;499;4,4015647920567837E-4;500656;3986015;0,004517868977619008;4982;
LSFI;8;100;499;4,6322351856696597E-4;770092;5943550;0,005999542767407254;7429;
LSBI;8;100;499;3,7504822165216917E-4;8366413;62759743;0,003078327082466735;78449;
Random;1;100;999;3,808989381892006E-4;248286;248278;0,0053089287913094165;2482;
LSFI;1;100;999;5,895020719448216E-4;804201;804192;0,006275452781426803;8041;
LSBI;1;100;999;3,87189883968046E-4;16614572;16614564;0,0019835474578204946;166145;
Random;2;100;999;3,808989381892006E-4;268290;521285;0,005272522917163516;2606;
LSFI;2;100;999;5,895020719448216E-4;935900;1761625;0,005510624521182417;8808;
LSBI;2;100;999;3,87189883968046E-4;18829651;36066789;0,001913308957799409;180333;
Random;4;100;999;3,808989381892006E-4;365455;1460833;0,004906595671851842;3652;
LSFI;4;100;999;5,895020719448216E-4;1311046;5031078;0,005673839911160955;12577;
LSBI;4;100;999;3,412096313769007E-4;24157456;91967320;0,0018687577240091091;229918;
Random;8;100;999;3,808989381892006E-4;485764;3879549;0,004663831885935011;4849;
LSFI;8;100;999;5,579556524704975E-4;1800190;13777403;0,005354746341873404;17221;
LSBI;8;100;999;2,718018240981913E-4;33065939;253347843;0,0018050564810249416;316684;
